title,category,date
《刻在》原創編劇還原「抄襲事件始末」　曝業界風氣：滿常發生,影劇,2021/08/30 21:34
二伯生完1年還在孕吐！　求醫檢查「竟是生病」：嚴重恐成胃癌,影劇,2022/05/25 21:22
出門如上戰場！梁赫群出妙招「拿生活用品防病毒」　為老婆小孩採買,影劇,2021/06/12 18:27
劉思慕拍完《尚氣》曬「基情照」　網笑：這部何時上映,影劇,2021/06/12 20:32
WINNER姜昇潤加盟《VOICE 4》！ 　角色設定曝光興奮喊：非常榮幸,影劇,2021/04/27 21:50
「激似金卡達夏」情色網紅整形驟逝！享年34歲　家屬上網悲籌喪葬費,影劇,2023/04/28 19:40
金針菇掀「外籍網紅行銷手法」論戰！　娘娘「吐真言」被讚爆：中肯,影劇,2021/11/05 23:33
聯電崩跌43%！趙正平「加碼套更牢」崩潰　一張圖網驚：濃濃韭菜味,影劇,2022/06/24 23:49
阿乃嘆「不想在感情裡當個媽」爆分手孫安佐　孫鵬昔日不喊「媳婦」原因曝光,影劇,2023/05/03 20:46
河正宇新片狂嗑鎮定劑　人生第一次挑戰「自爆最可怕瞬間」　,影劇,2020/02/19 22:01
阿本遇黑心店家　夜市貨「謊稱手工價格開3倍」無奈：被當盤子,影劇,2023/08/21 22:19
蕭敬騰「完整求婚影片」曝光！　下跪噴淚熱吻經紀人：要用一生愛妳,影劇,2023/06/27 20:52
天網揪5自主健康管理者　五月天公司開唱前發聲：繼續守護這機會,影劇,2021/01/01 17:48
周興哲鬆口生重病「失聲」...絕望：以為一輩子都無法唱歌！,影劇,2020/01/07 23:44
認愛首PO文！　王淨「男友視角照連發」甜炸7萬網：謝謝小曹,影劇,2023/02/23 22:27
「南部弄假牙～」哏十年了！FTISLAND李洪基：很奇怪，不懂為啥紅,影劇,2023/08/13 20:14
玖壹壹健志IG突開砲！　曝女友「最美化妝師」Mia私下真實面,影劇,2022/05/14 18:08
安聖日硬起來反擊！「告全代表毀損名譽」稱：只給FIFTY FIFTY中立建議,影劇,2023/11/01 20:47
楊麗音演失智症母親　澎湖感動跨年「800粉齊拋彩帶」,影劇,2021/01/01 18:43
老菸槍雙人組「清空IG」暫停更新！　曝下一步動向：會想念你們 ,影劇,2020/02/26 21:29
《魔戒》接班作！「奇幻史詩大片」爛番茄飆96%新鮮度,影劇,2021/08/12 20:29
林韋君爆熱戀張勛傑回應了！　「知道被跟拍」認：還在彼此了解,影劇,2021/12/15 20:22
阿圓辣穿低胸爆乳裝遊泰國　拍照「突遭壯男強行摟住」嚇壞,影劇,2023/02/14 22:08
趙婷《游牧人生》奪奧斯卡被封！　陸官媒總編開酸：不認識的導演,影劇,2021/04/27 23:22
《驕女》仁芯爆「人格障礙」復仇！　網分兩派支持：是姊姊先背叛,影劇,2020/09/14 21:17
柯震東29歲還是處男！國小就哈她　徐若瑄宣示主權：你靈魂是我的,影劇,2021/04/27 21:16
《逐星女》「野貓」盼有隱形能力　最想合作神力女超人,影劇,2021/08/31 20:43
參加活動驚有人確診！BrightWin「全面停工14天」泰娛樂圈陷崩潰,影劇,2021/04/06 19:16
張齡予撞名新娘「有好消息瞞不住」　預告：會盡快結婚,影劇,2021/12/26 18:40
Kim逗兒子玩「額頭吸出紫色瘀傷」　崩潰求助：我後天要拍廣告！,影劇,2022/09/06 21:44
P.O確定加盟《柔美的細胞小將2》！　入伍前最後作品「角色曝光」,影劇,2021/12/02 23:58
《聲林3》淘汰選手復活賽　團體賽三戰隊成員曝光,影劇,2022/01/21 21:15
女同志導演旅行遭「手語性騷」　自身經歷躍上大銀幕,影劇,2021/06/12 22:42
《變身少女露比》李沐復合台大學霸男友！　羞認：現在還有熱戀感,影劇,2023/06/27 20:22
BewhY與旗下歌手「節目講粗話、態度差勁」惹議！　反省道歉竟又被罵爆,影劇,2021/01/16 19:51
持修唱一半「戴口罩女子」突然衝上台　竟是「超大咖歌后」觀眾嗨翻,影劇,2021/01/16 23:14
黃少祺拍戲失誤「頭部撞地」翻滾出去！　痛苦摀頭…驚嚇畫面曝光,影劇,2021/08/12 22:21
粉絲告白「妳的存在溫暖很多人」　蔡依林淚崩：是很神奇的力量,影劇,2023/12/24 17:08
情人節奇蹟！台灣搜救隊8天6小時「再救1生還者」　網淚：生命的韌性,影劇,2023/02/14 22:40
筱崎泫滑倒用手撐！　1周後「手劇烈疼痛不能動」送醫兩手都骨折,影劇,2023/03/05 21:21
南多凜搭無人公車看窗外和「它們」對到眼！下秒轉頭...座位全擠滿,影劇,2021/08/14 21:27
DJ SODA自爆「6歲遭強盜性侵」　加入Metoo被阻止：會很難存活,影劇,2023/08/21 22:21
艾米漢默「荒淫IG小號」被挖出！　疑私密床照、嗑藥文曝光自誇：毒性處理器,影劇,2021/01/16 22:43
金宇碩公開親筆信道別粉絲！　「不要責怪X1成員」喊話：請給予溫暖的話語,影劇,2020/01/07 21:38
林志炫傲喊：後宮多到快滿出來！　打造10坪「遊樂園」洩特殊癖好,影劇,2021/01/05 22:01
圤智雨數落李妍瑾罪狀「扯到Makiyo老公」！　小金被酸假掰反擊了,影劇,2022/11/20 19:42
周冬雨「戴口罩領獎」！　拔智齒腫臉7天…得獎感言網笑趴,影劇,2020/01/07 23:30
橋本環奈「泡湯露香肩」化身澡堂招牌　「熊本熊之父」驚喜登《湯屋》,影劇,2023/05/03 22:12
不爽被章子怡請下台！　女星反批「攻擊我人格」：原本期待專業評價,影劇,2021/01/05 20:07
《魯冰花》女星飛上海　「堅持不打疫苗」揭原因：打進去的更毒,影劇,2022/04/19 21:25
小吳飛蚊症一週求診「模糊差點看不到」！　檢查結果出爐：別擔心,影劇,2022/01/21 19:26
走路超愛「空氣投籃」！　票選男生8大NG行為：再帥都倒彈,影劇,2023/10/07 22:48
天菜男星扮連環殺人魔！　「拔眉、剃髮」毀容式演出被當路人甲,影劇,2023/08/10 20:26
美知名主播不明原因驟逝…享年51歲　「2天前還在直播」丈夫難接受,影劇,2023/07/26 22:19
徐凱希合照五堅情…「少1人」被糾正！　無奈還原真相：沒那麼笨,影劇,2021/12/26 22:29
王詩安30歲鬆口「想戀愛了」！　曝光凍齡仙氣秘訣　　,影劇,2021/08/30 23:39
田羽安分手楊子儀單身4年！阿西看開不催婚「不怕沒人拜」,影劇,2022/09/06 19:55
劉雨柔遭摸大腿給難看！　廠商「被掐到瘀青」：借酒裝瘋的馬上清醒,影劇,2023/06/21 18:28
58歲不老男星赴陸「唱2首歌賺86萬」　曾捲超渣婚外情…人氣仍不減,影劇,2021/12/02 22:42
豪門婆婆婚前要求驗身！　媳婦假孕「花錢領養男嬰」開戰,影劇,2022/01/21 19:51
Faye控他偽造簽名反遭起訴！　「師徒翻臉」陳建寧回應：真相大白,影劇,2023/06/13 21:46
《青春有你2》女偶像「防疫個資、PCR報告」遭外洩！　揭過程轟：要有職業道德,影劇,2021/08/11 21:22
雷／吳允熙落水前「關鍵真相」衝擊韓網！真朱丹泰真面目也曝光,影劇,2021/07/02 22:47
快訊／霍尊宣布退出演藝圈！「請傷害到此為止吧」約砲聊天群組被深挖,影劇,2021/08/14 22:56
日版《微微一笑》預告曝光！　人物設定大改…陸網傻眼：超中二,影劇,2021/01/05 22:46
成軍3年...三場演唱會秒殺　新人樂團曝「MV破百萬點擊」秘訣,影劇,2021/04/03 20:38
尼克、Ashly終於辦婚禮！　「身穿龍鳳褂婚紗」絕美現身…她拜堂哭了,影劇,2021/04/17 21:20
導演憂不能拍打戲　王一博堅定能吃苦「健身增肌」演緝毒警察,影劇,2022/09/06 20:10
《生世》倒數5集結局！網狂敲碗「心機敏鳳」報應終來了,影劇,2021/01/01 23:19
買「3顆牛番茄」被結帳金額嚇壞！她嘆：通膨有感　內行人解答了,影劇,2021/11/05 19:38
高圓圓甩「產後變老」負評！　未P圖照洩「少女顏值」網驚：不像生過孩子,影劇,2020/01/07 21:17
大勢韓女團成員踢爆：出道節目都是假的！　「公司還要我們付製作費」,影劇,2020/01/07 23:38
9m88跨刀金曲製作人新作！　一聽原曲秒「感動落淚」,影劇,2020/09/14 20:34
《DD52》女選手扯衣辣舞　熱狗一秒戀愛「妳在勾引我嗎」,影劇,2020/07/10 22:50
安潔莉娜裘莉響應英國男孩義賣計畫！　慷慨解囊助葉門難民,影劇,2020/09/14 21:21
《爸爸去哪兒》多多被造謠不雅影片！媽媽心痛：受傷害還是選擇原諒,影劇,2023/03/27 22:42
男團開唱...嘉賓邀謝和弦還不夠！　加碼宣布「請到大馬網紅團」！,影劇,2022/11/26 22:34
羅晉為唐嫣發火：碰觸到我的底線！　刪光新戲宣傳文「不跟你們玩了」,影劇,2022/11/20 21:38
女團PINK FUN嘆：睡一覺世界就變了！　宅家靠「發懶」暴瘦3公斤,影劇,2021/06/02 21:08
何妤玟「做自己城堡的皇后」拋開傳統女人期待　婚姻摔跤仍值得被愛,影劇,2020/04/14 21:00
50歲張庭走路「雙手護小腹」疑懷第三胎　員工發聲：肚子有狀況！,影劇,2020/12/26 23:29
瘦子收謝和弦道歉私訊　暖挺「很關心他」：再怎麼樣還是我老同學,影劇,2020/06/27 18:04
SHINee泰民「看到粉絲手機畫面」嫉妒了：怎麼可以存其他男人？,影劇,2023/12/24 18:02
伊能靜長胖了「55歲自拍曝光」　自嘲：脂肪代替膠原！反被網狂讚,影劇,2023/08/13 22:02
離婚2年多才斷乾淨！　李小璐工作室「正式退股賈乃亮公司」,影劇,2022/02/21 21:50
劉亞仁突改機票晚2天返韓！警方疑「為避檢出陽性」　公司再發聲,影劇,2023/02/11 18:45
懶人包／八點檔復仇戲《天道》演什麼？　角色對比5分鐘就看懂,影劇,2023/05/03 21:00
麟洋配摘金…蔡尚樺激動到哭！揭「拜師內幕」：等不及替師父慶功,影劇,2021/07/31 21:48
《慶餘年》張若昀車禍遇到愛！交往唐藝昕9年愛爾蘭甜完婚,影劇,2021/12/26 21:55
「驚奇隊長」布麗拉森加入《玩命關頭X》　馮迪索邀她到家裡吃飯,影劇,2023/04/28 22:22
7個月大兒子高燒「四肢發紫」併發嚴重症狀！張齡予急取消錄影：對不起,影劇,2023/06/13 21:23
周曉涵爆跟緋聞男友「床上雙人運動」！　發聲認PO影片：喝多了,影劇,2022/04/06 20:08
綜藝一姊拿中國身分證爽喊：落葉歸根！　馮光遠力挺：大家要恭賀她,影劇,2021/12/26 22:16
覺得快感冒…林萱瑜起床發現「補湯已燉好」　曝男友超暖一面：我有韓葛格,影劇,2023/07/17 20:06
快訊／王力宏隔離出關！　派「10黑衣人+2防疫計程車」脫身,影劇,2021/12/26 21:15
呂方被A-Lin歌聲驚豔揪合作　一見本人嚇喊：原來這麼高！,影劇,2021/01/05 20:03
池錫辰中斷活動現況公開！「可能得撤回報導...」《RM》班底笑翻了,影劇,2023/12/24 19:26
搖滾樂團「千字文」告白李杏　最終結局曝光：掉兩行熱淚！,影劇,2021/11/23 21:24
嘆出道31年全身「千瘡百孔」　謝金燕願留歌壇原因曝光,影劇,2021/01/16 21:24
《貓王艾維斯》爛番茄新鮮認證！　女兒給出高評價：我愛這部電影,影劇,2022/06/24 23:01
高鳴輕生離世6年　遺孀于真「360萬賣掉93坪老屋」：不用留給女兒,影劇,2023/06/13 20:02
鄭鎰勳退團隔1天　BTOB隊長徐恩光首發聲：不知怎麼開口，很抱歉,影劇,2021/01/01 21:00
吳宗憲驚吐：我真的不要唱歌了！　曝「告別演唱會」地點,影劇,2021/04/17 21:26
Lulu「許光漢在我家」　宣示主權「我是第一代許太太」：妹妹請在我後面排隊！,影劇,2020/02/19 20:49
王中平唱情歌...余皓然「可換張臉嗎」打槍：每次轉身都眼神死,影劇,2021/01/25 20:31
賀軍翔深夜摟妹「親還原真相」：朋友喝多熱情！跟老婆解釋了,影劇,2020/02/19 20:34
任嘉倫當「人間皮卡丘」放電邢菲！談辦公室戀愛甜炸,影劇,2023/02/01 20:07
廖峻無辜被控「藉口教台語」性侵未遂！　曝對話火速打臉：就想紅,影劇,2023/06/21 19:26
直擊／金聖圭寵粉比腕力！霸氣扳倒：輸給妳有點⋯　下秒暖安慰她,影劇,2022/11/20 21:06
視訊簽售到一半被掛斷！Somi特地私訊讓她講完　粉絲感動：怎能不愛,影劇,2023/08/21 19:18
王力宏離婚、宋少卿酒駕搬上舞台劇！　劇團搞笑回顧2021,影劇,2021/12/30 20:19
哈利哭訴遭斷經濟來源！　查爾斯王儲曝「王室出帳證據」駁：有給生活費,影劇,2021/06/27 21:58
吳亦凡「連纏3正妹」狂爆渣男行徑！遭抖秘戀內幕⋯私訊截圖全曝光,影劇,2021/06/02 22:04
木村拓哉「千萬河口湖別墅」被挖出…爆地產商送的！都市傳說是真的,影劇,2021/08/11 21:07
男神帥氣現身…繞車伸手拿粉絲信！　打開一看「餐廳菜單」網傻了,影劇,2021/04/17 19:23
陳子玄染「漸層奶茶髮色」變洋娃娃！網驚認不出：進廠維修？　她高EQ妙回,影劇,2020/02/26 23:29
林柏宏曝跨年計畫！放話《杏林醫院》破5000萬  重返廢墟探險,影劇,2020/12/26 23:35
汪小菲為何40歲突改名？張蘭解答「新名由來」又提兒婚姻：怕他出事,影劇,2021/12/09 22:51
徐凱希7位數接內衣代言！　展傲人事業線火辣曝光,影劇,2022/09/06 21:28
呂文婉電視台打招呼「遭刻意忽視」！　尷尬走開：已不是第一次,影劇,2022/06/30 20:31
《台北物語2》成本暴增10倍　「搶攻賀歲檔」創爛片傳奇！,影劇,2020/01/07 23:59
林義芳氣盧靚亂放話…隔一周道歉自打臉　承諾清算餐廳資產,影劇,2021/01/05 21:52
尚恩曼德斯化聲「會唱歌的鱷魚」　同台《菜鳥新移民》吳恬敏,影劇,2022/06/24 23:51
快訊／凱文史貝西「9項性侵指控」均獲判無罪！　法庭上哭了,影劇,2023/07/26 22:11
《好聲音》副導遭控霸凌「被休假了」！疑開新帳號嗆：你們還想怎樣,影劇,2023/08/21 23:31
金鐘獎／典禮超時嚴重！曾寶儀「自宮」砍5分鐘互動橋段,影劇,2022/10/22 22:12
梁靜茹開唱「4招超嚴密防疫」　驚見「超大咖來賓」隱身觀眾席,影劇,2020/12/26 20:07
《她們創業的那些鳥事》吸共鳴！導演爆料3女吵架戲最難拍,影劇,2021/01/16 19:39
影／徐睿知突指使女星做粗魯動作！曹世鎬當場變臉：你滿意了嗎？,影劇,2021/04/24 22:01
合體許光漢突脫口1句話　田馥甄懊悔：我說了不該說的話！,影劇,2023/08/13 20:41
孫協志爆主持人遲到！　「苦等錄影8小時」無奈吐心聲,影劇,2022/07/24 20:01
曾撂下一句「很難吃」！《料理2》阿發師向選手道歉,影劇,2021/07/02 21:20
夯劇毒販演員被起底「真的吸毒」！　劇組急發聲明連夜刪畫面,影劇,2023/02/11 23:40
金球影后告白梁朝偉！2度合作楊紫瓊「她很喜歡開玩笑」,影劇,2021/08/31 22:07
愛紗「時隔4年同框麻衣」曝合照！　一見面就淚崩：家人般的朋友,影劇,2023/03/05 23:02
影／15年鐵粉告白GD...才講完偶像出現眼前「嚇到跌倒」！,影劇,2021/12/09 20:19
利特眼眶紅望向「銀赫父曾熱舞的包廂」　他低頭不語全場哭了,影劇,2022/11/26 21:42
日劇認證江宏傑：台灣帥哥！　福原愛婚姻「日本30歲↓女性最憧憬」,影劇,2020/07/10 20:57
林彥汝確診Day 10曝「嗅覺味覺異常情況好轉」！卻仍有1症狀,影劇,2021/06/02 19:52
EXO KAI突宣佈下周入伍！緊急從軍原因曝　他直播淚崩：很可惜,影劇,2023/05/03 22:08
鳳梨飲料店開幕「小朋友被嚇哭」！　無辜：我不知道我做錯了什麼,影劇,2022/10/22 20:46
鍾欣凌「水泥埋屍」太驚悚！　賈永婕和老公吵架求幫忙：給妳處理,影劇,2023/06/13 19:33
日本「樂觀面對疫情」？　醫師揭真相：他們覺得就是一般感冒,影劇,2020/02/19 20:29
搶先全世界！《玩命關頭9》台灣上映日期確定　「比美國早整整一個月」,影劇,2021/04/17 21:25
《全明星》女星接觸確診者！　同場無罩錄《小明星》PCR結果出爐,影劇,2022/04/19 20:53
7歲姪子「叔叔是超人」被笑！　亨利卡維爾親現身拯救…帥翻網,影劇,2021/07/02 23:29
Lisa砸1.8億買豪宅「現金付清」！　前屋主身分太驚人,影劇,2023/02/01 21:23
江祖平消失一年現身喝喜酒！　難得穿女裝大露白嫩美腿　,影劇,2023/10/07 19:20
女生列「完美男友」7條件！　李沛旭重寫打臉：邏輯上的根本差異,影劇,2021/08/12 23:17
男星驚喜現身婚宴開唱！　女粉絲突被Cue上台...激動哭了,影劇,2023/03/27 22:43
關曉彤被告！開奶茶店驚爆經營糾紛　網友起底爭議「沒許可證」,影劇,2022/04/06 22:33
林志穎老婆首發文！　坦言「看不實消息很難過」,影劇,2022/07/24 19:44
Wanna One粉絲尖叫！黃旼炫在賴冠霖IG暖心留言「哥有來台灣，想你了」,影劇,2023/08/13 18:47
姜虎東X李壽根又有新節目！　還加入Super Junior成員,影劇,2020/09/14 19:23
批楊丞琳被罵斷章取義！　網紅揭她昔日家境諷：多窮多慘成人設SOP,影劇,2022/09/06 21:08
梁詠琪脫口「下張專輯等10年」粉絲急了！　秒發聲安撫：我還是愛唱歌,影劇,2021/08/31 21:54
KIMIKO生理期「特別癢」PO文求助　上百網友訊息湧入：我也是,影劇,2022/06/30 22:15
小S「哭臉特效」惡搞具俊曄：說你愛我姊！　大S鏡頭外噴笑,影劇,2022/06/24 19:44
《與惡》温昇豪當評審吐心聲：不能主觀！徵劇本找生猛作,影劇,2023/02/01 21:44
PTT曝「百份便當送醫護」暖舉　背後竟是張庭瑚秘密製做,影劇,2021/06/12 18:21
金裕貞、禹棹奐搶當《超完美狗保姆》！韓媒一致讚：穿梭在笑點淚點間,影劇,2023/02/23 20:51
玖壹壹唱一半「女觀眾突脫上衣狂甩」！　仔細一看竟是超大咖天后,影劇,2021/04/24 21:40
有史以來成本最高！　理想混蛋邀「大咖男星」演MV：真的太帥了,影劇,2021/12/09 20:06
陶晶瑩揪賈靜雯開直播「又沒約小S」！　爆笑吐心機：我們會＠她,影劇,2022/02/21 23:23
來台發片遇「疫情+寒流」...大馬女星嚇備口罩：心都涼了！,影劇,2020/02/26 21:48
Lulu素顏巧遇粉絲…他「轉身吐一句話」直接無視！笑倒：都不鳥我,影劇,2021/08/30 20:37
木村拓哉染髮宣布回鍋演假眼教官！　新造型改變了「神似黑傑克」,影劇,2020/09/14 19:10
林瑞陽神隱1個月…兒鬆口「一直都有訊息聯絡」！　洩他動向,影劇,2022/01/21 22:27
庾澄慶罕見放閃！　小14歲妻「衝上台」甜蜜對唱,影劇,2022/11/20 22:27
J.Sheon自認難搞毛很多　跨界配音《比得兔兔》：講話夠酸,影劇,2020/03/14 19:52
網紅陽明山豪宅開趴！　未經申請「大放煙火」…恐遭罰15萬GG了,影劇,2021/12/15 21:54
男星住在千年古堡倫敦塔！　「叫不到外送」苦惱：沒人相信我住這,影劇,2022/01/21 20:59
南韓已故天王慘遭盜墓！　40多歲女嫌被逮捕稱「感覺到有人施咒」,影劇,2023/02/14 23:40
鍾明軒遭酸「性向不正常所以被捧」！　拍片反擊：想塞蝙蝠到他嘴裡,影劇,2020/03/29 21:16
評／醒醒吧！粉絲才不買BTS麥當勞紙袋　阿滴：不懂為什麼要揶揄,影劇,2021/06/12 20:08
「日本第一抖音女神」真實長相被起底！遭網攻擊照騙…靠2方法變美,影劇,2021/06/02 21:19
葛斯齊爆「已婚偶像男星性騷飯店人員」　給5線索：圈內人都知道,影劇,2023/06/21 22:09
阿翰算命阿姨爆紅！陳意涵登800公尺高山「找九天玄女」…網笑翻,影劇,2022/04/19 19:55
失心瘋「買了偶像周邊最後用途」過於真實　網笑翻推爆：7點全中！,影劇,2020/01/21 20:12
女星懷孕遭老公嘲笑「胸下垂、腫成球」　爆哭痛訴：管好你的嘴！,影劇,2021/11/23 20:39
Albee大尺度自爆…床上被問「舒服嗎」　淡定回應讓男伴傻眼了！,影劇,2021/04/03 21:16
林佑星一家4口確診「最擔心兒女」！前一天才排練《用九》舞台劇,影劇,2022/05/25 22:37
VIXX睽違5年來台！　「安可興奮衝下台、加碼狂唱」嗨翻全場,影劇,2023/03/05 20:09
小A辣6年前黑歷史曝光！「4基本元素」網笑翻：標準型瞎趴妹,影劇,2020/02/26 20:37
見《夢想之地》上映！《飯捲男孩》導演竟「撕爛劇本」　原因曝光,影劇,2023/07/17 23:34
辦完爸爸王羽後事離台！　王馨平返回香港機場確診：輕微喉嚨不適,影劇,2022/05/14 19:53
蕭敬騰20歲就愛上經紀人！　2年前「車上親暱互動」全被拍,影劇,2023/06/27 23:14
吳姍儒6代言進帳千萬元！佩服炎亞綸　嘆：忙到想休3天都難,影劇,2021/04/24 21:56
吳鳳去維也納卡關「土耳其人要簽證」　拿1寶物秒解決：愛死台灣,影劇,2023/08/21 18:37
《我的婆婆》勇兔沒入圍　製作人私下安慰曝王少偉心情失落,影劇,2021/09/13 19:00
嫁身價80億歌王林峯！　女模發文洩「愛女側臉照＋暱稱」…急刪,影劇,2021/06/12 21:07
「黑豹」暴瘦現身2月後驚傳「坐輪椅送急診」！　噤聲不回應…病況引憂,影劇,2020/06/20 21:55
MBC演技／2度奪情侶獎！「前任」坐台下　李俊昊放閃：我心裡有德任,影劇,2021/12/30 21:53
快訊／詹雅雯放棄治療突失明！　帕金森氏症惡化認了「開始善終」,影劇,2023/10/07 19:22
網友私訊打聽「唐嫣生龍鳳胎？」　同劇女星回2字證實…粉絲生氣了！,影劇,2020/03/29 21:30
原只是拍廣告…男星飛大陸「2年沒再回過家」！終於上機：降落時會哭,影劇,2022/05/25 22:24
邵雨薇化身天使拯救地獄倒楣男　曾敬驊貼胸口聽心跳飄粉紅泡泡,影劇,2023/07/26 18:54
Lulu演床戲「聽到對象是邱澤」秒答應　女上男下搖整晚：叫很大聲,影劇,2021/03/23 20:48
怪粉狂傳「裸體合成照」　EXID LE罕見動怒：檢舉了還來！,影劇,2020/01/21 21:26
過氣AV女優變摔角手！　夏于喬「特訓三個月」挑戰必殺技,影劇,2022/10/22 23:40
「甜美千萬網紅謎片」瘋傳！　本尊憔悴現身闢謠：請停止犯罪,影劇,2021/11/05 21:55
賴雅妍「佛系單身」個性太Man　曝光另一半「2大條件」,影劇,2021/07/02 20:35
Twinko可青被求婚「I say yes」！隊友張語噥爆哭：我要當伴娘了,影劇,2023/12/24 23:23
快訊／狂被網友抹黑攻擊！　李玟二姊火大發聲明喊告　,影劇,2023/08/10 20:30
YTR實測「3步驟手機出現吉娃娃」！　網友跟風輸入：真的有,影劇,2023/02/01 22:01
前主播談「電視台霸凌案」知內情　揭業界黑暗手段：賤人就是矯情,影劇,2022/05/25 21:50
快訊／《新世紀福爾摩斯》房東太太去世！　家中病逝享壽84歲,影劇,2021/08/12 23:36
《雙層公寓》女王島袋聖南戀愛史！4度上節目追愛　連吻戲場面都有特輯,影劇,2022/05/25 20:31
王彩樺「台灣濱崎步」封號太響亮！　登日韓節目熱議…網讚：保庇天后,影劇,2021/06/02 20:54
《歌劇魅影》男主隔離掏出「超重健身神器」！大讚台灣最安全,影劇,2020/11/09 23:19
趙麗穎素顏曝光「看不出35歲」！　眼神迷濛美照引粉絲暴動,影劇,2023/07/26 18:46
周星馳息影後其實還想演戲！　名導吐背後殘酷真相：他無法面對,影劇,2021/09/13 18:56
快訊／又來！五月天演唱會又有違反自主健康管理者闖入　,影劇,2021/01/01 20:11
嫁來台灣「老公狂說台語砲轟」　大久保麻梨子受到衝擊,影劇,2021/04/17 19:18
王祖賢喊「中國台北」是盜用！罕發出官方聲明,影劇,2021/08/12 19:47
廟會女神認罹患罕病！月吞330顆藥　變月亮臉懇求：別再霸凌我,影劇,2023/06/27 23:53
獨／周亭羽發聲「感謝媽媽留給我的美好回憶」　貼心一叮嚀惹鼻酸,影劇,2021/08/11 22:53
雷／BL劇《因為愛你》大三元結局！野獸CP激吻聽到「啾啾聲」網超害羞,影劇,2020/03/14 23:28
黃明志新MV要找「超大咖明星臉」！　一排藍勾勾搶報名…網笑炸,影劇,2021/12/15 19:28
星光2班曾沛慈、梁文音久違合體！　第5名卸任主播…近況罕見曝光,影劇,2021/11/05 21:41
秦昊霸氣放話：不會為錢拍爛片！　伊能靜「1句話神吐槽」笑翻網,影劇,2020/06/27 23:16
南韓雨災40人↑罹難！PSY發文「天氣很完美」被轟爆　急刪文＋捐款滅火,影劇,2023/07/17 22:56
《怪奇物語》小男孩「二戰電影抗德軍」　揭猶太血統：對我意義重大,影劇,2020/02/19 21:56
劉文正消失30年　無預警「現蹤」裘海正演唱會！,影劇,2021/01/16 22:26
認不出來！《黑魔女》艾兒芬妮金髮消失「染了搞怪新顏色」　網嚇：她是誰？,影劇,2020/03/29 21:28
通告才出包…木曜女神再爆「新曲MV疑抄襲IU」！　上火線回應了,影劇,2021/11/05 20:40
VERA、閻奕格為同志開唱！　同志天菜鹹濕交手猛男全場嗨翻,影劇,2023/11/01 20:14
陳零九戰勝新冠肺炎　「五堅情」剩他最後採檢...PCR結果出爐！,影劇,2021/07/02 19:40
鄭東煥難忘台灣記者溫暖　洪慧芳被拱拍床戲羞：眼睛不受罪嗎？,影劇,2022/11/20 20:17
秦嵐熱戀魏大勛8個月　赴兒科遭疑「好事將近」工作室曬簡訊回應,影劇,2023/08/21 21:37
PONY5IBE怕通勤塞車「從桃園搬到台北」　工作人員看地點傻眼了,影劇,2022/11/26 23:06
鄧倫消失1年半「驚喜出現綜藝」！　片段曝光網一聽：要回來了嗎,影劇,2023/08/13 23:12
