title,category,date,keys
持修唱一半「戴口罩女子」突然衝上台　竟是「超大咖歌后」觀眾嗨翻,影劇,2021/01/16 23:14,咖歌后 口罩 女子 超大 竟是
黃少祺拍戲失誤「頭部撞地」翻滾出去！　痛苦摀頭…驚嚇畫面曝光,影劇,2021/08/12 22:21,曝光 頭部 撞地 畫面 翻滾出去
粉絲告白「妳的存在溫暖很多人」　蔡依林淚崩：是很神奇的力量,影劇,2023/12/24 17:08,神奇 告白 蔡依林 力量 的
情人節奇蹟！台灣搜救隊8天6小時「再救1生還者」　網淚：生命的韌性,影劇,2023/02/14 22:40,生還 生命 情人節 小時 韌性
筱崎泫滑倒用手撐！　1周後「手劇烈疼痛不能動」送醫兩手都骨折,影劇,2023/03/05 21:21,手撐 筱崎泫 不能 ！ 送醫
南多凜搭無人公車看窗外和「它們」對到眼！下秒轉頭...座位全擠滿,影劇,2021/08/14 21:27,南多 公車 擠滿 座位 它們
DJ SODA自爆「6歲遭強盜性侵」　加入Metoo被阻止：會很難存活,影劇,2023/08/21 22:21,加入 dj soda 自爆 性侵 強盜
艾米漢默「荒淫IG小號」被挖出！　疑私密床照、嗑藥文曝光自誇：毒性處理器,影劇,2021/01/16 22:43,艾米漢默 藥文 曝光 小號 ！
金宇碩公開親筆信道別粉絲！　「不要責怪X1成員」喊話：請給予溫暖的話語,影劇,2020/01/07 21:38,金宇碩 公開 成員 不要 ！
林志炫傲喊：後宮多到快滿出來！　打造10坪「遊樂園」洩特殊癖好,影劇,2021/01/05 22:01,林志炫 後宮 滿出來 癖好 特殊
圤智雨數落李妍瑾罪狀「扯到Makiyo老公」！　小金被酸假掰反擊了,影劇,2022/11/20 19:42,圤智雨 李妍瑾 老公 ！ 罪狀
周冬雨「戴口罩領獎」！　拔智齒腫臉7天…得獎感言網笑趴,影劇,2020/01/07 23:30,智齒 口罩 ！ 得獎 笑趴
橋本環奈「泡湯露香肩」化身澡堂招牌　「熊本熊之父」驚喜登《湯屋》,影劇,2023/05/03 22:12,露香肩 橋本 熊本熊 環奈 澡堂
不爽被章子怡請下台！　女星反批「攻擊我人格」：原本期待專業評價,影劇,2021/01/05 20:07,章子怡 人格 ！ 下台 不
《魯冰花》女星飛上海　「堅持不打疫苗」揭原因：打進去的更毒,影劇,2022/04/19 21:25,魯冰花 女星 原因 的 《
小吳飛蚊症一週求診「模糊差點看不到」！　檢查結果出爐：別擔心,影劇,2022/01/21 19:26,擔心 出爐 小吳 求診 模糊
走路超愛「空氣投籃」！　票選男生8大NG行為：再帥都倒彈,影劇,2023/10/07 22:48,空氣 超愛 行為 ！ 投籃
天菜男星扮連環殺人魔！　「拔眉、剃髮」毀容式演出被當路人甲,影劇,2023/08/10 20:26,天菜 人魔 連環 剃髮 拔眉
美知名主播不明原因驟逝…享年51歲　「2天前還在直播」丈夫難接受,影劇,2023/07/26 22:19,知名 享年 原因 主播 直播
徐凱希合照五堅情…「少1人」被糾正！　無奈還原真相：沒那麼笨,影劇,2021/12/26 22:29,五堅情 無奈 糾正 合照 還原
王詩安30歲鬆口「想戀愛了」！　曝光凍齡仙氣秘訣　　,影劇,2021/08/30 23:39,王詩安 戀愛 曝光 ！　 鬆口
田羽安分手楊子儀單身4年！阿西看開不催婚「不怕沒人拜」,影劇,2022/09/06 19:55,楊子儀 田羽安 阿西 不 看開
劉雨柔遭摸大腿給難看！　廠商「被掐到瘀青」：借酒裝瘋的馬上清醒,影劇,2023/06/21 18:28,瘀青 劉雨柔 清醒 大腿 難看
58歲不老男星赴陸「唱2首歌賺86萬」　曾捲超渣婚外情…人氣仍不減,影劇,2021/12/02 22:42,婚外情 86萬 不 歌 人氣
豪門婆婆婚前要求驗身！　媳婦假孕「花錢領養男嬰」開戰,影劇,2022/01/21 19:51,豪門 花錢 男嬰 婚前 驗身
Faye控他偽造簽名反遭起訴！　「師徒翻臉」陳建寧回應：真相大白,影劇,2023/06/13 21:46,陳建寧 大白 簽名 faye ！
《青春有你2》女偶像「防疫個資、PCR報告」遭外洩！　揭過程轟：要有職業道德,影劇,2021/08/11 21:22,道德 外洩 青春 《 有
雷／吳允熙落水前「關鍵真相」衝擊韓網！真朱丹泰真面目也曝光,影劇,2021/07/02 22:47,真面目 曝光 真相 落水 真
快訊／霍尊宣布退出演藝圈！「請傷害到此為止吧」約砲聊天群組被深挖,影劇,2021/08/14 22:56,為止 宣布 退出 霍尊 快訊
日版《微微一笑》預告曝光！　人物設定大改…陸網傻眼：超中二,影劇,2021/01/05 22:46,曝光 超中 日版 人物 設定
成軍3年...三場演唱會秒殺　新人樂團曝「MV破百萬點擊」秘訣,影劇,2021/04/03 20:38,成軍 秒殺 百萬 樂團 秘訣
尼克、Ashly終於辦婚禮！　「身穿龍鳳褂婚紗」絕美現身…她拜堂哭了,影劇,2021/04/17 21:20,龍鳳褂 拜堂 ！ 現身 婚禮
導演憂不能拍打戲　王一博堅定能吃苦「健身增肌」演緝毒警察,影劇,2022/09/06 20:10,健身 堅定 拍打戲 警察 緝毒
《生世》倒數5集結局！網狂敲碗「心機敏鳳」報應終來了,影劇,2021/01/01 23:19,心機 生世 《 倒數 網狂
買「3顆牛番茄」被結帳金額嚇壞！她嘆：通膨有感　內行人解答了,影劇,2021/11/05 19:38,金額 番茄 通膨 解答 結帳
高圓圓甩「產後變老」負評！　未P圖照洩「少女顏值」網驚：不像生過孩子,影劇,2020/01/07 21:17,高圓圓 少女 孩子 照洩 顏值
大勢韓女團成員踢爆：出道節目都是假的！　「公司還要我們付製作費」,影劇,2020/01/07 23:38,大勢 我們 韓女團 公司 成員
9m88跨刀金曲製作人新作！　一聽原曲秒「感動落淚」,影劇,2020/09/14 20:34,原曲秒 金曲 製作人 跨刀 落淚
《DD52》女選手扯衣辣舞　熱狗一秒戀愛「妳在勾引我嗎」,影劇,2020/07/10 22:50,戀愛 《 選手 我 女
安潔莉娜裘莉響應英國男孩義賣計畫！　慷慨解囊助葉門難民,影劇,2020/09/14 21:21,難民 安潔莉娜裘莉 英國 義賣 葉門
《爸爸去哪兒》多多被造謠不雅影片！媽媽心痛：受傷害還是選擇原諒,影劇,2023/03/27 22:42,心痛 原諒 不雅 還是 媽媽
男團開唱...嘉賓邀謝和弦還不夠！　加碼宣布「請到大馬網紅團」！,影劇,2022/11/26 22:34,男團 加碼 宣布 開唱 邀謝
羅晉為唐嫣發火：碰觸到我的底線！　刪光新戲宣傳文「不跟你們玩了」,影劇,2022/11/20 21:38,發火 刪光 宣傳文 羅晉 你們
女團PINK FUN嘆：睡一覺世界就變了！　宅家靠「發懶」暴瘦3公斤,影劇,2021/06/02 21:08,公斤 女團 ！　 發懶 暴瘦
何妤玟「做自己城堡的皇后」拋開傳統女人期待　婚姻摔跤仍值得被愛,影劇,2020/04/14 21:00,皇后 城堡 愛 的 婚姻
50歲張庭走路「雙手護小腹」疑懷第三胎　員工發聲：肚子有狀況！,影劇,2020/12/26 23:29,張庭 小腹 雙手 肚子 ！
瘦子收謝和弦道歉私訊　暖挺「很關心他」：再怎麼樣還是我老同學,影劇,2020/06/27 18:04,關心 瘦子 同學 道歉 還是
SHINee泰民「看到粉絲手機畫面」嫉妒了：怎麼可以存其他男人？,影劇,2023/12/24 18:02,畫面 泰民 手機 男人 怎麼
伊能靜長胖了「55歲自拍曝光」　自嘲：脂肪代替膠原！反被網狂讚,影劇,2023/08/13 22:02,曝光 伊能靜 代替 膠原 ！
離婚2年多才斷乾淨！　李小璐工作室「正式退股賈乃亮公司」,影劇,2022/02/21 21:50,李小璐 公司 正式 ！ 乾淨
劉亞仁突改機票晚2天返韓！警方疑「為避檢出陽性」　公司再發聲,影劇,2023/02/11 18:45,劉亞仁 避檢出 警方 公司 陽性
懶人包／八點檔復仇戲《天道》演什麼？　角色對比5分鐘就看懂,影劇,2023/05/03 21:00,八點檔 懶人包 分鐘 對比 角色
麟洋配摘金…蔡尚樺激動到哭！揭「拜師內幕」：等不及替師父慶功,影劇,2021/07/31 21:48,配摘金 蔡尚樺 等不及 拜師 麟洋
《慶餘年》張若昀車禍遇到愛！交往唐藝昕9年愛爾蘭甜完婚,影劇,2021/12/26 21:55,張若昀 愛爾蘭 慶餘年 車禍 愛
「驚奇隊長」布麗拉森加入《玩命關頭X》　馮迪索邀她到家裡吃飯,影劇,2023/04/28 22:22,布麗拉森 隊長 加入 《 馮迪索
7個月大兒子高燒「四肢發紫」併發嚴重症狀！張齡予急取消錄影：對不起,影劇,2023/06/13 21:23,四肢 高燒 對不起 張齡 大兒子
周曉涵爆跟緋聞男友「床上雙人運動」！　發聲認PO影片：喝多了,影劇,2022/04/06 20:08,雙人 男友 運動 緋聞 發聲
綜藝一姊拿中國身分證爽喊：落葉歸根！　馮光遠力挺：大家要恭賀她,影劇,2021/12/26 22:16,馮光遠 落葉歸根 力挺 身分證 一姊
覺得快感冒…林萱瑜起床發現「補湯已燉好」　曝男友超暖一面：我有韓葛格,影劇,2023/07/17 20:06,男友 林萱瑜 有 補湯 感冒
快訊／王力宏隔離出關！　派「10黑衣人+2防疫計程車」脫身,影劇,2021/12/26 21:15,計程車 王力宏 出關 隔離 防疫
呂方被A-Lin歌聲驚豔揪合作　一見本人嚇喊：原來這麼高！,影劇,2021/01/05 20:03,原來 歌聲 ！ 呂方 合作
池錫辰中斷活動現況公開！「可能得撤回報導...」《RM》班底笑翻了,影劇,2023/12/24 19:26,公開 中斷 ！ 現況 笑翻
搖滾樂團「千字文」告白李杏　最終結局曝光：掉兩行熱淚！,影劇,2021/11/23 21:24,千字文 李杏 告白 曝光 ！
嘆出道31年全身「千瘡百孔」　謝金燕願留歌壇原因曝光,影劇,2021/01/16 21:24,歌壇 千瘡百孔 原因 謝金燕 曝光
《貓王艾維斯》爛番茄新鮮認證！　女兒給出高評價：我愛這部電影,影劇,2022/06/24 23:01,貓王 女兒 給出 ！ 電影
高鳴輕生離世6年　遺孀于真「360萬賣掉93坪老屋」：不用留給女兒,影劇,2023/06/13 20:02,高鳴 不用 輕生 女兒 離世
鄭鎰勳退團隔1天　BTOB隊長徐恩光首發聲：不知怎麼開口，很抱歉,影劇,2021/01/01 21:00,徐恩光 開口 天 隊長 不
吳宗憲驚吐：我真的不要唱歌了！　曝「告別演唱會」地點,影劇,2021/04/17 21:26,唱歌 地點 吳宗憲 不要 真的
Lulu「許光漢在我家」　宣示主權「我是第一代許太太」：妹妹請在我後面排隊！,影劇,2020/02/19 20:49,許光漢 我 第一 ！ 主權
王中平唱情歌...余皓然「可換張臉嗎」打槍：每次轉身都眼神死,影劇,2021/01/25 20:31,情歌 王中平 眼神 張 都
賀軍翔深夜摟妹「親還原真相」：朋友喝多熱情！跟老婆解釋了,影劇,2020/02/19 20:34,賀軍翔 還原 真相 ！ 熱情
任嘉倫當「人間皮卡丘」放電邢菲！談辦公室戀愛甜炸,影劇,2023/02/01 20:07,戀愛 辦公室 ！ 邢菲 甜炸
廖峻無辜被控「藉口教台語」性侵未遂！　曝對話火速打臉：就想紅,影劇,2023/06/21 19:26,藉口 火速 打臉 對話 無辜
直擊／金聖圭寵粉比腕力！霸氣扳倒：輸給妳有點⋯　下秒暖安慰她,影劇,2022/11/20 21:06,金聖圭 安慰 腕力 扳倒 霸氣
視訊簽售到一半被掛斷！Somi特地私訊讓她講完　粉絲感動：怎能不愛,影劇,2023/08/21 19:18,特地 不 愛 一半 ！
王力宏離婚、宋少卿酒駕搬上舞台劇！　劇團搞笑回顧2021,影劇,2021/12/30 20:19,王力宏 ！ 搬上 離婚 酒駕
哈利哭訴遭斷經濟來源！　查爾斯王儲曝「王室出帳證據」駁：有給生活費,影劇,2021/06/27 21:58,查爾斯王 王室 生活費 出帳 有給
吳亦凡「連纏3正妹」狂爆渣男行徑！遭抖秘戀內幕⋯私訊截圖全曝光,影劇,2021/06/02 22:04,正妹 曝光 行徑 ！ 秘戀
木村拓哉「千萬河口湖別墅」被挖出…爆地產商送的！都市傳說是真的,影劇,2021/08/11 21:07,木村拓哉 爆地產 河口湖 千萬 都市
男神帥氣現身…繞車伸手拿粉絲信！　打開一看「餐廳菜單」網傻了,影劇,2021/04/17 19:23,繞車 粉絲信 伸手 打開 菜單
陳子玄染「漸層奶茶髮色」變洋娃娃！網驚認不出：進廠維修？　她高EQ妙回,影劇,2020/02/26 23:29,陳子玄 漸層 妙回 維修 奶茶
林柏宏曝跨年計畫！放話《杏林醫院》破5000萬  重返廢墟探險,影劇,2020/12/26 23:35,林柏宏 杏林 《 5000萬 ！
汪小菲為何40歲突改名？張蘭解答「新名由來」又提兒婚姻：怕他出事,影劇,2021/12/09 22:51,改名 新名 張蘭 汪小菲 出事
徐凱希7位數接內衣代言！　展傲人事業線火辣曝光,影劇,2022/09/06 21:28,曝光 火辣 代言 事業線 內衣
呂文婉電視台打招呼「遭刻意忽視」！　尷尬走開：已不是第一次,影劇,2022/06/30 20:31,呂文婉 第一 不 ！　 走開
《台北物語2》成本暴增10倍　「搶攻賀歲檔」創爛片傳奇！,影劇,2020/01/07 23:59,成本 《 台北 創爛片 賀歲檔
林義芳氣盧靚亂放話…隔一周道歉自打臉　承諾清算餐廳資產,影劇,2021/01/05 21:52,林義芳 道歉 清算 餐廳 資產
尚恩曼德斯化聲「會唱歌的鱷魚」　同台《菜鳥新移民》吳恬敏,影劇,2022/06/24 23:51,尚恩曼德斯 唱歌 移民 《 的
快訊／凱文史貝西「9項性侵指控」均獲判無罪！　法庭上哭了,影劇,2023/07/26 22:11,史貝西 凱文 法庭 ！ 獲判
《好聲音》副導遭控霸凌「被休假了」！疑開新帳號嗆：你們還想怎樣,影劇,2023/08/21 23:31,霸凌 怎樣 帳號 休假 你們
金鐘獎／典禮超時嚴重！曾寶儀「自宮」砍5分鐘互動橋段,影劇,2022/10/22 22:12,金鐘獎 橋段 分鐘 宮 ！
梁靜茹開唱「4招超嚴密防疫」　驚見「超大咖來賓」隱身觀眾席,影劇,2020/12/26 20:07,超大 驚見 觀眾席 梁靜茹 隱身
《她們創業的那些鳥事》吸共鳴！導演爆料3女吵架戲最難拍,影劇,2021/01/16 19:39,鳥事 她們 導演 共鳴 那些
影／徐睿知突指使女星做粗魯動作！曹世鎬當場變臉：你滿意了嗎？,影劇,2021/04/24 22:01,曹世鎬 女星 變臉 粗魯 動作
合體許光漢突脫口1句話　田馥甄懊悔：我說了不該說的話！,影劇,2023/08/13 20:41,許光漢 　田馥甄 ！ 合體 突脫
孫協志爆主持人遲到！　「苦等錄影8小時」無奈吐心聲,影劇,2022/07/24 20:01,孫協志 無奈 心聲 主持人 小時
曾撂下一句「很難吃」！《料理2》阿發師向選手道歉,影劇,2021/07/02 21:20,阿發師 道歉 料理 難吃 ！
夯劇毒販演員被起底「真的吸毒」！　劇組急發聲明連夜刪畫面,影劇,2023/02/11 23:40,真的 刪畫面 聲明 ！ 連夜
金球影后告白梁朝偉！2度合作楊紫瓊「她很喜歡開玩笑」,影劇,2021/08/31 22:07,金球 梁朝偉 楊紫瓊 告白 ！
愛紗「時隔4年同框麻衣」曝合照！　一見面就淚崩：家人般的朋友,影劇,2023/03/05 23:02,愛紗 ！ 朋友 麻衣 淚崩
影／15年鐵粉告白GD...才講完偶像出現眼前「嚇到跌倒」！,影劇,2021/12/09 20:19,告白 出現 鐵粉 跌倒 講完
利特眼眶紅望向「銀赫父曾熱舞的包廂」　他低頭不語全場哭了,影劇,2022/11/26 21:42,利特 紅望 眼眶 熱舞 低頭
日劇認證江宏傑：台灣帥哥！　福原愛婚姻「日本30歲↓女性最憧憬」,影劇,2020/07/10 20:57,江宏傑 日劇 福原 ！ 愛
林彥汝確診Day 10曝「嗅覺味覺異常情況好轉」！卻仍有1症狀,影劇,2021/06/02 19:52,林彥汝 ！ 仍 卻 曝
EXO KAI突宣佈下周入伍！緊急從軍原因曝　他直播淚崩：很可惜,影劇,2023/05/03 22:08,從軍 原因 宣佈 ！ 緊急
鳳梨飲料店開幕「小朋友被嚇哭」！　無辜：我不知道我做錯了什麼,影劇,2022/10/22 20:46,小朋友 知道 我 ！ 鳳梨
鍾欣凌「水泥埋屍」太驚悚！　賈永婕和老公吵架求幫忙：給妳處理,影劇,2023/06/13 19:33,水泥 賈永婕 ！ 驚悚 處理
日本「樂觀面對疫情」？　醫師揭真相：他們覺得就是一般感冒,影劇,2020/02/19 20:29,面對 一般 醫師 覺得 疫情
搶先全世界！《玩命關頭9》台灣上映日期確定　「比美國早整整一個月」,影劇,2021/04/17 21:25,日期 世界 美國 確定 ！
《全明星》女星接觸確診者！　同場無罩錄《小明星》PCR結果出爐,影劇,2022/04/19 20:53,女星 明星 《 接觸 結果
7歲姪子「叔叔是超人」被笑！　亨利卡維爾親現身拯救…帥翻網,影劇,2021/07/02 23:29,超人 姪子 拯救 叔叔 翻網
Lisa砸1.8億買豪宅「現金付清」！　前屋主身分太驚人,影劇,2023/02/01 21:23,現金 付清 屋主 豪宅 身分
江祖平消失一年現身喝喜酒！　難得穿女裝大露白嫩美腿　,影劇,2023/10/07 19:20,江祖平 女裝 現身 難得 喜酒
女生列「完美男友」7條件！　李沛旭重寫打臉：邏輯上的根本差異,影劇,2021/08/12 23:17,女生列 完美 李沛旭 男友 根本
男星驚喜現身婚宴開唱！　女粉絲突被Cue上台...激動哭了,影劇,2023/03/27 22:43,男星 上台 激動 驚喜 開唱
關曉彤被告！開奶茶店驚爆經營糾紛　網友起底爭議「沒許可證」,影劇,2022/04/06 22:33,關曉彤 許可證 奶茶店 驚爆 起底
林志穎老婆首發文！　坦言「看不實消息很難過」,影劇,2022/07/24 19:44,林志穎 發文 不實 ！ 「
Wanna One粉絲尖叫！黃旼炫在賴冠霖IG暖心留言「哥有來台灣，想你了」,影劇,2023/08/13 18:47,暖心 粉絲 留言 尖叫 台灣
姜虎東X李壽根又有新節目！　還加入Super Junior成員,影劇,2020/09/14 19:23,姜虎東 李壽根 成員 加入 節目
批楊丞琳被罵斷章取義！　網紅揭她昔日家境諷：多窮多慘成人設SOP,影劇,2022/09/06 21:08,斷章取義 楊丞琳 成人 ！ 家境
梁詠琪脫口「下張專輯等10年」粉絲急了！　秒發聲安撫：我還是愛唱歌,影劇,2021/08/31 21:54,唱歌 我 ！ 愛 安撫
KIMIKO生理期「特別癢」PO文求助　上百網友訊息湧入：我也是,影劇,2022/06/30 22:15,生理期 我 網友 湧入 求助
小S「哭臉特效」惡搞具俊曄：說你愛我姊！　大S鏡頭外噴笑,影劇,2022/06/24 19:44,！　 鏡頭 噴笑 特效 惡搞
《與惡》温昇豪當評審吐心聲：不能主觀！徵劇本找生猛作,影劇,2023/02/01 21:44,不能 主觀 心聲 生猛 劇本
PTT曝「百份便當送醫護」暖舉　背後竟是張庭瑚秘密製做,影劇,2021/06/12 18:21,張庭瑚 背後 ptt 醫護 製做
金裕貞、禹棹奐搶當《超完美狗保姆》！韓媒一致讚：穿梭在笑點淚點間,影劇,2023/02/23 20:51,金裕貞 超完美狗 一致 保姆 穿梭
玖壹壹唱一半「女觀眾突脫上衣狂甩」！　仔細一看竟是超大咖天后,影劇,2021/04/24 21:40,天后 上衣 超大 一半 ！
有史以來成本最高！　理想混蛋邀「大咖男星」演MV：真的太帥了,影劇,2021/12/09 20:06,男星 有史以來 太 大 真的
陶晶瑩揪賈靜雯開直播「又沒約小S」！　爆笑吐心機：我們會＠她,影劇,2022/02/21 23:23,我們 心機 爆笑 陶晶瑩 賈靜雯
來台發片遇「疫情+寒流」...大馬女星嚇備口罩：心都涼了！,影劇,2020/02/26 21:48,大馬 發片 嚇備 疫情 寒流
